Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,146,12,T:System.Windows.RoutedEventHandler,,,,,this.BtnImport.Click += new System.Windows.RoutedEventHandler(this.BtnImport_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,146,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,this.BtnImport.Click += new System.Windows.RoutedEventHandler(this.BtnImport_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,143,12,T:System.Windows.Controls.Button,,,,,this.BtnImport = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,137,12,T:System.Windows.Controls.Button,,,,,this.BtnCancel.Click += new System.Windows.RoutedEventHandler(this.BtnCancel_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,137,12,T:System.Windows.RoutedEventHandler,,,,,this.BtnCancel.Click += new System.Windows.RoutedEventHandler(this.BtnCancel_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,137,12,T:System.Windows.RoutedEventHandler,,,,,this.BtnCancel.Click += new System.Windows.RoutedEventHandler(this.BtnCancel_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,137,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,this.BtnCancel.Click += new System.Windows.RoutedEventHandler(this.BtnCancel_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,134,12,T:System.Windows.Controls.Button,,,,,this.BtnCancel = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,131,12,T:System.Windows.Controls.RichTextBox,,,,,this.DiffTextBox = ((System.Windows.Controls.RichTextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,128,12,T:System.Windows.Controls.ListBox,,,,,this.ChangesList = ((System.Windows.Controls.ListBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,125,12,T:System.Windows.Controls.TextBlock,,,,,this.TbPermissionWarnings = ((System.Windows.Controls.TextBlock)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,122,12,T:System.Windows.Controls.Border,,,,,this.PermissionWarningBanner = ((System.Windows.Controls.Border)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,106,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,106,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,103,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Songify;component/views/window_cloudimportpreview.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,103,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Songify;component/views/window_cloudimportpreview.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,86,48,T:System.Windows.Controls.Button,,,,,BtnImport
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,78,48,T:System.Windows.Controls.Button,,,,,BtnCancel
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,70,53,T:System.Windows.Controls.RichTextBox,,,,,DiffTextBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,62,49,T:System.Windows.Controls.ListBox,,,,,ChangesList
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,54,51,T:System.Windows.Controls.TextBlock,,,,,TbPermissionWarnings
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,46,48,T:System.Windows.Controls.Border,,,,,PermissionWarningBanner
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Views\Window_CloudImportPreview.xaml.cs,124,8,T:System.Windows.RoutedEventArgs,,,,,"private void BtnImport_Click(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Views\Window_CloudImportPreview.xaml.cs,127,12,M:System.Windows.Window.Close,,,,,this.Close();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Views\Window_CloudImportPreview.xaml.cs,118,8,T:System.Windows.RoutedEventArgs,,,,,"private void BtnCancel_Click(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Views\Window_CloudImportPreview.xaml.cs,121,12,M:System.Windows.Window.Close,,,,,this.Close();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Views\Window_CloudImportPreview.xaml.cs,114,16,T:System.Windows.Controls.RichTextBox,,,,,DiffTextBox.Document.Blocks.Add(paragraph);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Views\Window_CloudImportPreview.xaml.cs,114,16,T:System.Windows.Documents.FlowDocument,,,,,DiffTextBox.Document.Blocks.Add(paragraph);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Views\Window_CloudImportPreview.xaml.cs,114,16,P:System.Windows.Controls.RichTextBox.Document,,,,,DiffTextBox.Document.Blocks.Add(paragraph);
